V00123496	0	0	0	0	0	0	0	0	0	0	0
V00123508	0	0	0	0	0	0	0	0	0	0	0
V00123524	0	0	0	0	0	0	0	0	0	0	0
V00123535	0	0	0	0	0	0	0	0	0	0	0
V00123539	0	0	0	0	0	0	0	0	0	0	0
V00123545	0	0	0	0	0	0	0	0	0	0	0
V00123549	0	0	0	0	0	0	0	0	0	0	0
V00123562	0	0	0	0	0	0	0	0	0	0	0
V00123572	2	10	8	7	8	9	0	7	6.125	31	0
V00123534	3	10	7	8	9	0	0	0	4.25	32	0
V00123566	5	10	10	10	10	10	10	12	19.125	33	0
V00123499	2	8	7	7	0	0	0	0	2.75	11	4
V00123460	3	10	9	0	7	0	0	0	3.25	9.5	6
V00123468	3	10	8	3	4	3	0	2	3.75	7	10
V00123500	5	9	8	9	0	0	3	0	8.125	12.5	10
V00123502	0	9	9	0	0	0	0	0	2.25	15.5	10
V00123528	4	10	9	0	10	0	5	0	4.25	29	11
V00123495	5	8	9	7	10	0	0	0	4.25	22.5	15
V00123497	5	1	9	9	6	7	0	7	13.875	0	17
V00123531	5	10	10	8	10	4	0	8	9.625	11.5	18
V00123505	5	9	8	8	9	7	4	0	5.625	23.5	21
V00123558	5	8	8	8	10	8	7	3	6.5	12.5	24
V00123458	5	10	10	9	9	0	0	0	4.75	25.5	26
V00123554	2	5	6	5	0	0	0	4	2.5	19	28
V00123540	5	9	8	4	5	8	10	6	9.625	13	30
V00123494	5	8	6	0	0	7	0	0	11.625	16	30
V00123512	5	10	9	9	7	7	6	6	6.75	26	33
V00123470	5	8	6	4	8	4	0	6	7.875	20	34
V00123492	4	10	8	10	10	9	0	0	5.875	32	37
V00123506	5	8	8	6	4	3	4	4	8	16.5	38
V00123536	5	10	9	9	10	7	8	7	7.5	28	39
V00123464	5	9	9	8	5	10	10	4	10.25	25	42
V00123474	5	9	9	6	2	4	9	8	14.875	18	43
V00123560	5	10	7	8	9	1	5	0	5	13	43.5
V00123485	5	9	6	9	9	10	6	10	17.5	21	45
V00123472	4	10	10	8	0	0	0	0	3.5	27.5	50
V00123526	5	7	8	7	9	6	0	0	14.75	16.5	53
V00123476	5	10	9	9	9	8	0	5	10.75	24	56.5
V00123461	5	10	9	9	10	10	8	9	17.125	25.5	56.5
V00123564	5	10	9	9	9	7	0	0	15.625	27.5	57
V00123530	5	10	10	9	10	10	10	9	8.5	24	61
V00123532	2	9	6	8	10	8	9	9	13	25	61
V00123525	5	10	8	0	9	9	9	0	16.875	31	61
V00123501	5	10	8	9	10	9	6	9	18.875	12	62
V00123471	5	10	10	9	0	8	0	9	5.75	22	62
V00123553	5	9	8	10	10	3	0	6	5.75	34.5	62
V00123503	5	9	7	0	10	0	0	6	4	25	63
V00123489	5	10	9	8	8	10	0	5	6.25	28.5	64
V00123537	5	10	9	9	10	10	9	9	19.5	18.5	65
V00123557	4	9	10	7	9	7	8	7	7.125	25.5	67.5
V00123547	4	10	9	10	10	9	10	8	8.25	34.5	71
V00123478	5	10	10	8	9	5	9	8	11.875	27.5	72
V00123565	5	10	9	7	9	0	7	6	16.125	34	72
V00123569	5	10	9	10	10	10	9	9	19.625	20.5	72.5
V00123514	5	10	7	8	6	10	10	8	7.375	24.5	72.5
V00123486	5	10	8	10	10	10	6	7	11	22	73
V00123568	5	10	10	9	10	8	7	7	7.625	22.5	75
V00123552	5	10	9	8	10	10	0	0	5.875	33.5	75
V00123567	5	10	8	9	10	7	6	8	17.375	31	76
V00123504	3	10	9	9	10	7	10	7	7.75	32	76
V00123513	5	9	7	8	8	9	4	7	6.5	27	77
V00123463	5	9	8	9	10	9	10	11	18.375	28	77
V00123473	5	10	8	9	10	8	9	0	6.75	31	77
V00123518	5	8	9	9	10	4	10	5	13.625	33	77
V00123465	5	9	6	7	10	8	5	8	11.125	33.5	77
V00123493	5	10	9	7	10	9	10	12	19.625	31	78
V00123570	5	9	9	8	10	9	0	9	6.75	30	78.5
V00123561	5	9	9	9	10	8	10	12	19.625	33.5	81
V00123519	5	10	10	9	10	3	6	10	7.25	28.5	82
V00123559	4	10	9	9	10	10	10	8	18.375	32.5	83
V00123510	10	10	0	0	10	0	6	0	3.25	27	83.5
V00123467	5	10	7	9	5	10	10	10	7.625	31.5	85
V00123574	5	10	7	9	10	10	10	10	16.125	30.5	85.5
