V00123496	0	0	0	0	0	0	0	0	0	0	0
V00123508	0	0	0	0	0	0	0	0	0	0	0
V00123524	0	0	0	0	0	0	0	0	0	0	0
V00123462	5	9	10	0	10	9	10	7	6.875	33	88.5
V00123557	4	9	10	7	9	7	8	7	7.125	25.5	67.5
V00123519	5	10	10	9	10	3	6	10	7.25	28.5	82
V00123514	5	10	7	8	6	10	10	8	7.375	24.5	72.5
V00123483	5	10	9	10	5	3	10	12	7.375	24.5	89
V00123536	5	10	9	9	10	7	8	7	7.5	28	39
V00123568	5	10	10	9	10	8	7	7	7.625	22.5	75
V00123467	5	10	7	9	5	10	10	10	7.625	31.5	85
V00123484	5	10	10	10	10	9	7	6	7.75	31	90
V00123504	3	10	9	9	10	7	10	7	7.75	32	76
V00123470	5	8	6	4	8	4	0	6	7.875	20	34
V00123506	5	8	8	6	4	3	4	4	8	16.5	38
V00123500	5	9	8	9	0	0	3	0	8.125	12.5	10
V00123547	4	10	9	10	10	9	10	8	8.25	34.5	71
V00123530	5	10	10	9	10	10	10	9	8.5	24	61
V00123531	5	10	10	8	10	4	0	8	9.625	11.5	18
V00123540	5	9	8	4	5	8	10	6	9.625	13	30
V00123464	5	9	9	8	5	10	10	4	10.25	25	42
V00123476	5	10	9	9	9	8	0	5	10.75	24	56.5
V00123486	5	10	8	10	10	10	6	7	11	22	73
V00123465	5	9	6	7	10	8	5	8	11.125	33.5	77
V00123494	5	8	6	0	0	7	0	0	11.625	16	30
V00123478	5	10	10	8	9	5	9	8	11.875	27.5	72
V00123532	2	9	6	8	10	8	9	9	13	25	61
V00123518	5	8	9	9	10	4	10	5	13.625	33	77
V00123497	5	1	9	9	6	7	0	7	13.875	0	17
V00123526	5	7	8	7	9	6	0	0	14.75	16.5	53
V00123474	5	9	9	6	2	4	9	8	14.875	18	43
V00123564	5	10	9	9	9	7	0	0	15.625	27.5	57
V00123574	5	10	7	9	10	10	10	10	16.125	30.5	85.5
V00123565	5	10	9	7	9	0	7	6	16.125	34	72
V00123521	5	0	9	8	10	8	10	9	16.875	28.5	91
V00123525	5	10	8	0	9	9	9	0	16.875	31	61
V00123461	5	10	9	9	10	10	8	9	17.125	25.5	56.5
V00123538	4	10	10	9	10	10	9	9	17.375	25.5	91
V00123488	5	10	8	7	10	0	7	7	17.375	28.5	87
V00123567	5	10	8	9	10	7	6	8	17.375	31	76
V00123485	5	9	6	9	9	10	6	10	17.5	21	45
V00123533	5	9	7	9	10	8	8	9	17.625	33	89.5
V00123517	5	10	10	9	9	8	8	7	17.75	32.5	87
V00123507	5	10	10	8	10	7	10	7	17.875	29.5	98
V00123481	5	10	10	9	10	10	8	6	18	29	99
V00123463	5	9	8	9	10	9	10	11	18.375	28	77
V00123559	4	10	9	9	10	10	10	8	18.375	32.5	83
V00123576	5	10	10	8	10	9	10	10	18.5	35	91
V00123546	5	10	9	9	10	10	10	10	18.625	31	106
V00123501	5	10	8	9	10	9	6	9	18.875	12	62
V00123477	5	10	10	9	9	11	10	12	19	33.5	101
V00123541	5	10	9	10	10	10	10	10	19.875	33.5	88
V00123479	5	10	10	8	10	11	10	10	19.875	33.5	106
V00123523	5	10	9	8	10	10	10	12	19.875	33.5	108
V00123509	5	10	10	10	9	8	10	12	19.875	34	93
V00123480	5	10	9	10	10	10	10	10	19.875	34.5	91
V00123487	5	10	8	9	10	10	10	13	20	33	95
V00123575	5	10	10	9	10	10	9	12	20	34	96
V00123456	5	10	10	10	10	10	10	10	20	35	110
V00123515	5	10	10	8	10	11	10	12	20.125	32.5	101
V00123457	5	10	10	9	10	10	10	13	20.25	34.5	105
V00123548	5	10	10	10	10	11	10	12	20.375	34.5	103
